application_id,transaction_id,finv_category,counterparty,classification_engine,stream_id
2420589,2755538076,Automotive,ATLAS SAWYERS SAWYERS VALLE,initial,
2420589,2755538243,Overdrawn,Overdrawn Fee,fee,
2420589,2755538124,Non SACC Loans,Humm,liability,bnpl_002
2420589,2755537885,Automotive,Puma York Roadhouse,initial,
2420589,2755537983,Unknown Loans,Credit Corp,liability,unknown_001
2420589,2755537654,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755537642,,,,
2420589,2755538013,,,,
2420589,2755537997,Automotive,Great Southern Fuels,initial,
2420589,2755537777,Automotive,Great Southern Fuels,initial,
2420589,2755538195,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755537809,,,,
2420589,2755537692,Automotive,Great Southern Fuels,initial,
2420589,2755537952,Retail,THINGZ GIFTS MIDLAND G HIGH WYCOMBE,initial,
2420589,2755538196,Overdrawn,Overdrawn Fee,fee,
2420589,2755537694,Overdrawn,Overdrawn Fee,fee,
2420589,2755538362,Automotive,Puma York Roadhouse,initial,
2420589,2755537954,,,,
2420589,2755537543,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755537946,Groceries,7-ELEVEN STORES PTY LTD,initial,
2420589,2755537591,,,,
2420589,2755538045,,,,
2420589,2755537917,,,,
2420589,2755537715,External Transfers,Direct Debit Transfer,transfer,External Transfers
2420589,2755538160,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755537673,,,,
2420589,2755538219,,,,
2420589,2755537578,Groceries,Foodworks Dalwallinu,initial,
2420589,2755538058,Overdrawn,Overdrawn Fee,fee,
2420589,2755537738,Automotive,Puma York Roadhouse,initial,
2420589,2755538262,Non SACC Loans,Wagetap,liability,wage_advance_004
2420589,2755538334,Non SACC Loans,MyPayNow,liability,wage_advance_002
2420589,2755537630,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755537600,Non SACC Loans,Beforepay,liability,wage_advance_001
2420589,2755537582,Automotive,Puma York Roadhouse,initial,
2420589,2755537877,,,,
2420589,2755537660,Unknown Loans,Credit Corp,liability,unknown_001
2420589,2755537944,Automotive,DUNNINGS GOOMALLING GOOMALLING,initial,
2420589,2755537947,Automotive,Puma York Roadhouse,initial,
2420589,2755537793,Subscription TV,Netflix,initial,
2420589,2755538159,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755537967,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755537761,Automotive,DUNNINGS TOODYAY JUN TOODYAY,initial,
2420589,2755538071,Non SACC Loans,Afterpay,liability,bnpl_001
2420589,2755537965,,,,
2420589,2755538327,Dining Out,Hungry Birds Pizza,initial,
2420589,2755538210,Groceries,IGA,initial,
2420589,2755537576,Dining Out,Subway,initial,
2420589,2755538203,,,,
2420589,2755537550,Automotive,DUNNINGS TOODYAY JUN TOODYAY,initial,
2420589,2755538224,,,,
2420589,2755538173,Non SACC Loans,CBA Loans,liability,contract_loan_001
2420589,2755538364,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755538192,Unknown Loans,Credit Corp,liability,unknown_001
2420589,2755538043,Automotive,Great Southern Fuels,initial,
2420589,2755537639,,,,
2420589,2755537544,Non SACC Loans,MyPayNow,liability,wage_advance_002
2420589,2755537826,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755537841,Dishonours,-,dishonour,
2420589,2755538255,,,,
2420589,2755537956,,,,
2420589,2755538047,Non SACC Loans,Beforepay,liability,wage_advance_001
2420589,2755538039,Non SACC Loans,MyPayNow,liability,wage_advance_002
2420589,2755538134,Automotive,Puma York Roadhouse,initial,
2420589,2755537782,Non SACC Loans,MyPayNow,liability,wage_advance_002
2420589,2755538061,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755538282,,,,
2420589,2755538326,Unknown Loans,Credit Corp,liability,unknown_001
2420589,2755537981,Non SACC Loans,Beforepay,liability,wage_advance_001
2420589,2755537637,,,,
2420589,2755538050,,,,
2420589,2755537755,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755538005,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755538027,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755538099,,,,
2420589,2755538006,Groceries,Coles,initial,
2420589,2755537549,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755537975,Dishonours,-,dishonour,
2420589,2755538310,Non SACC Loans,Afterpay,liability,bnpl_001
2420589,2755538353,,,,
2420589,2755537631,Automotive,DUNNINGS TOODYAY JUN TOODYAY,initial,
2420589,2755538211,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755537890,Non SACC Loans,Afterpay,liability,bnpl_001
2420589,2755537641,,,,
2420589,2755538280,,,,
2420589,2755537880,,,,
2420589,2755538169,,,,
2420589,2755537779,Non SACC Loans,Wagepay,liability,wage_advance_003
2420589,2755538218,,,,
2420589,2755537677,,,,
2420589,2755537644,Dishonours,-,dishonour,
2420589,2755538199,SACC Loans,Fundo Loans,liability,sacc_001
2420589,2755537721,Health,STEWART'S SAVEMOR PH,initial,
2420589,2755537802,,,,
2420589,2755537934,Groceries,WOOLWORTHS GROUP LIMITED,initial,
2420589,2755538295,Dining Out,Bucking Bull,initial,
2420589,2755537849,Automotive,Puma York Roadhouse,initial,
2420589,2755538049,Pet Care,NORTHAM FEED &,initial,
2420589,2755537607,,,,
2420589,2755538168,,,,
2420589,2755537742,,,,
2420589,2755537731,,,,
2420589,2755537553,SACC Loans,MoneySpot,liability,sacc_002
2420589,2755538180,,,,
2420589,2755537961,Non SACC Loans,Afterpay,liability,bnpl_001
2420589,2755538332,Wages,Main Roads,income,wage_001
2420589,2755538003,Non SACC Loans,Afterpay,liability,bnpl_001
2420589,2755538220,Non SACC Loans,Afterpay,liability,bnpl_001
2420589,2755538357,,,,
2420589,2755538048,Non SACC Loans,Wagepay,liability,wage_advance_003
2420589,2755537653,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755538188,,,,
2420589,2755538097,Non SACC Loans,Afterpay,liability,bnpl_001
2420589,2755537634,,,,
2420589,2755537632,,,,
2420589,2755538170,,,,
2420589,2755538128,Non SACC Loans,Wagepay,liability,wage_advance_003
2420589,2755537836,,,,
2420589,2755538175,Dishonours,Wagepay,liability,wage_advance_003
2420589,2755538252,,,,
2420589,2755538089,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755537672,,,,
2420589,2755538186,Non SACC Loans,Wagepay,liability,wage_advance_003
2420589,2755537623,Wages,Main Roads,income,wage_001
2420589,2755537746,Automotive,Great Southern Fuels,initial,
2420589,2755538000,,,,
2420589,2755538225,,,,
2420589,2755538091,Department Stores,Big W,initial,
2420589,2755538257,,,,
2420589,2755537853,,,,
2420589,2755537784,Dining Out,Settlers Cafe,initial,
2420589,2755538085,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755538308,,,,
2420589,2755538172,Non SACC Loans,Beforepay,liability,wage_advance_001
2420589,2755538171,Non SACC Loans,Afterpay,liability,bnpl_001
2420589,2755538269,,,,
2420589,2755537936,,,,
2420589,2755537565,,,,
2420589,2755538318,External Transfers,Direct Debit Transfer,transfer,External Transfers
2420589,2755538010,,,,
2420589,2755538350,External Transfers,CBA Funds Transfer,transfer,External Transfers
2420589,2755538023,Non SACC Loans,Afterpay,liability,bnpl_001
2420589,2755537865,,,,
